,melyseg,csucs_ellenallas,palast_ellenallas,porus_viznyomas,surlodasi_aranyszam
527,10.54,3.891,0.1436,0.0,3.788
528,10.56,4.891,0.15376,0.0,3.296
529,10.58,6.36,0.16392,0.0,2.803
530,10.6,7.445,0.18742,0.0,2.574
531,10.62,7.636,0.22519,0.0,2.985
532,10.64,7.884,0.26169,0.0,3.325
533,10.66,7.579,0.26858,0.0,3.409
534,10.68,7.206,0.25825,0.0,3.426
535,10.7,6.684,0.23476,0.0,3.464
536,10.72,5.547,0.21487,0.0,3.622
537,10.74,4.954,0.19974,0.0,3.885
538,10.76,4.804,0.18935,0.0,3.944
539,10.78,4.754,0.1831,0.0,3.826
540,10.8,4.821,0.17673,0.0,3.72
541,10.82,4.889,0.17127,0.0,3.597
542,10.84,4.907,0.16326,0.0,3.329
543,10.86,4.91,0.15143,0.0,3.095
544,10.88,4.924,0.13082,0.0,2.658
545,10.9,4.99,0.11035,0.0,2.226
546,10.92,5.087,0.10135,0.0,2.002
547,10.94,5.1,0.09963,0.0,1.954
548,10.96,5.119,0.09739,0.0,1.904
549,10.98,5.126,0.09839,0.0,1.923
550,11.0,5.101,0.1031,0.0,2.005
551,11.02,4.928,0.10873,0.0,2.165
552,11.04,4.707,0.11424,0.0,2.375
553,11.06,4.558,0.1176,0.0,2.552
554,11.08,4.46,0.10914,0.0,2.423
555,11.1,4.408,0.11036,0.0,2.494
556,11.12,4.348,0.11522,0.0,2.634
557,11.14,4.258,0.11637,0.0,2.713
558,11.16,4.35,0.11117,0.0,2.584
559,11.18,4.384,0.10707,0.0,2.464
560,11.2,4.353,0.11285,0.0,2.575
561,11.22,4.249,0.11924,0.0,2.768
562,11.24,4.193,0.1205,0.0,2.858
563,11.26,4.139,0.12374,0.0,2.963
564,11.28,4.073,0.12583,0.0,3.069
565,11.3,3.847,0.12767,0.0,3.187
566,11.32,3.632,0.12174,0.0,3.275
567,11.34,3.856,0.10441,0.0,2.849
568,11.36,4.367,0.09261,0.0,2.237
569,11.38,4.672,0.08379,0.0,1.842
570,11.4,4.695,0.06875,0.0,1.456
571,11.42,4.551,0.0585,0.0,1.266
572,11.44,4.511,0.05134,0.0,1.138
573,11.46,4.507,0.04494,0.0,0.995
574,11.48,4.464,0.04465,0.0,0.993
575,11.5,4.401,0.04662,0.0,1.048
576,11.52,4.221,0.05451,0.0,1.265
577,11.54,4.018,0.07106,0.0,1.763
578,11.56,3.825,0.08853,0.0,2.342
579,11.58,3.646,0.106,0.0,2.921
580,11.6,3.319,0.11718,0.0,3.423
581,11.62,3.034,0.11502,0.0,3.697
582,11.64,2.854,0.10832,0.0,3.776
583,11.66,3.38,0.09397,0.0,3.323
584,11.68,3.905,0.07692,0.0,2.72
585,11.7,4.43,0.06496,0.0,2.075
586,11.72,4.901,0.05752,0.0,1.208
587,11.74,5.172,0.05679,0.0,1.112
588,11.76,5.216,0.06787,0.0,1.3
589,11.78,5.166,0.09087,0.0,1.749
590,11.8,5.157,0.12579,0.0,2.45
591,11.82,5.23,0.14042,0.0,2.693
592,11.84,5.216,0.1724,0.0,3.296
